Producto,Categoría del Producto,Precio,Costo de envío,Fecha de Compra,Vendedor,Lugar de Compra,Calificación,Método de pago,Cantidad de cuotas,lat,lon,Sucursal,Ingreso
Asistente virtual,Electrónicos,164300.0,6900.0,2021-01-16,Pedro Gomez,Bogotá,4,Tarjeta de crédito,8,4.60971,-74.08175,Tienda 1,157400.0
Mesa de comedor,Muebles,192300.0,8400.0,2022-05-18,Beatriz Morales,Medellín,1,Tarjeta de crédito,4,6.25184,-75.56359,Tienda 1,183900.0
Juego de mesa,Juguetes,209600.0,15900.0,2021-03-15,Juan Fernandez,Cartagena,1,Tarjeta de crédito,1,10.39972,-75.51444,Tienda 1,193700.0
Microondas,Electrodomésticos,757500.0,41000.0,2022-05-03,Juan Fernandez,Cali,4,Nequi,1,3.43722,-76.5225,Tienda 1,716500.0
Silla de oficina,Muebles,335200.0,20200.0,2020-11-07,Maria Alfonso,Medellín,5,Nequi,1,6.25184,-75.56359,Tienda 1,315000.0
Bloques de construcción,Juguetes,24200.0,0.0,2020-12-03,Beatriz Morales,Cali,5,Cupón,1,3.43722,-76.5225,Tienda 1,24200.0
Muñeca bebé,Juguetes,44200.0,0.0,2021-08-07,Juan Fernandez,Bogotá,3,Nequi,1,4.60971,-74.08175,Tienda 1,44200.0
Lavavajillas,Electrodomésticos,1189700.0,63700.0,2021-06-18,Felipe Santos,Santa Marta,5,Tarjeta de crédito,10,11.24079,-74.19904,Tienda 1,1126000.0
Lavadora de ropa,Electrodomésticos,1518200.0,79000.0,2022-01-08,Izabela de León,Bogotá,1,Tarjeta de crédito,5,4.60971,-74.08175,Tienda 1,1439200.0
Carrito de control remoto,Juguetes,75200.0,5100.0,2020-02-24,Beatriz Morales,Bogotá,5,Nequi,1,4.60971,-74.08175,Tienda 1,70100.0
Refrigerador,Electrodomésticos,2431300.0,127600.0,2020-04-03,Blanca Ramirez,Bogotá,5,Tarjeta de crédito,2,4.60971,-74.08175,Tienda 1,2303700.0
Lavavajillas,Electrodomésticos,1417100.0,75700.0,2021-07-05,Rafael Acosta,Cartagena,5,Tarjeta de crédito,1,10.39972,-75.51444,Tienda 1,1341400.0
Auriculares,Electrónicos,91800.0,5300.0,2020-02-20,Rafael Acosta,Medellín,1,Tarjeta de crédito,5,6.25184,-75.56359,Tienda 1,86500.0
Olla de presión,Artículos para el hogar,66700.0,1700.0,2020-09-10,Izabela de León,Pereira,4,Tarjeta de crédito,2,4.81333,-75.69611,Tienda 1,65000.0
